date,company,amount,exchange,segment,scrip_code,instrument_type,strike_price,expiry,trade_num,trade_time,side,quantity,price,qt,amt,remark,note
2022-02-11 00:00:00,CRESSANDA SOLUTIONS LTD.,159,NSE,EQ,512379,Equity,,,0,00:00:00,SELL,20,7.95,-20,-159,,
2022-02-16 00:00:00,RAGHUVIR SYNTHETICS LTD.,225.95,NSE,EQ,514316,Equity,,,0,00:00:00,BUY,1,225.95,1,225.95,,
2022-02-21 00:00:00,RELIANCE POWER LTD.,1120,NSE,EQ,532939,Equity,,,0,00:00:00,SELL,80,14,-80,-1120,,
2022-02-21 00:00:00,RELIANCE POWER LTD.,140,NSE,EQ,532939,Equity,,,0,00:00:00,SELL,10,14,-10,-140,,
2022-02-21 00:00:00,RELIANCE POWER LTD.,140,NSE,EQ,532939,Equity,,,0,00:00:00,SELL,10,14,-10,-140,,
2022-02-24 00:00:00,SWORD-EDGE COMMERCIALS LIMITED,164,NSE,EQ,512359,Equity,,,0,00:00:00,SELL,200,0.82,-200,-164,,
2022-02-24 00:00:00,SWORD-EDGE COMMERCIALS LIMITED,164,NSE,EQ,512359,Equity,,,0,00:00:00,SELL,200,0.82,-200,-164,,
2022-02-24 00:00:00,SWORD-EDGE COMMERCIALS LIMITED,164,NSE,EQ,512359,Equity,,,0,00:00:00,SELL,200,0.82,-200,-164,,
2022-02-28 00:00:00,LLOYDS ENGG WORK LIMITED,37.87,NSE,EQ,539992,Equity,,,0,00:00:00,SELL,3,12.62,-3,-37.87,,
2022-02-28 00:00:00,LLOYDS ENGG WORK LIMITED,88.37,NSE,EQ,539992,Equity,,,0,00:00:00,SELL,7,12.62,-7,-88.37,,
2022-02-28 00:00:00,LLOYDS ENGG WORK LIMITED,631.25,NSE,EQ,539992,Equity,,,0,00:00:00,SELL,50,12.63,-50,-631.25,,
2022-02-28 00:00:00,LLOYDS ENGG WORK LIMITED,505,NSE,EQ,539992,Equity,,,0,00:00:00,SELL,40,12.63,-40,-505,,
2022-02-28 00:00:00,LLOYDS ENGG WORK LIMITED,11362.5,NSE,EQ,539992,Equity,,,0,00:00:00,SELL,900,12.63,-900,-11362.5,,
2022-03-16 00:00:00,BRIGHTCOM GROUP LIMITED,0,NSE,EQ,532368,Equity,,,0,00:00:00,BUY,68,0,68,0,,
2022-03-17 00:00:00,CRESSANDA SOLUTIONS LTD.,320.75,NSE,EQ,512379,Equity,,,0,00:00:00,SELL,25,12.83,-25,-320.75,,
2022-05-06 00:00:00,TATA TELESERV(MAHARASTRA),1799.2,NSE,EQ,532371,Equity,,,0,00:00:00,SELL,13,138.4,-13,-1799.2,,
2022-05-06 00:00:00,TATA TELESERV(MAHARASTRA),968.8,NSE,EQ,532371,Equity,,,0,00:00:00,SELL,7,138.4,-7,-968.8,,
2022-05-06 00:00:00,TATA TELESERV(MAHARASTRA),2768,NSE,EQ,532371,Equity,,,0,00:00:00,SELL,20,138.4,-20,-2768,,
2022-05-06 00:00:00,TATA TELESERV(MAHARASTRA),1384,NSE,EQ,532371,Equity,,,0,00:00:00,SELL,10,138.4,-10,-1384,,
2022-05-06 00:00:00,TATA TELESERV(MAHARASTRA),2768,NSE,EQ,532371,Equity,,,0,00:00:00,SELL,20,138.4,-20,-2768,,
2022-05-09 00:00:00,CAMPUS ACTIVEWEAR LIMITED,1700,NSE,EQ,543523,Equity,,,0,00:00:00,BUY,5,340,5,1700,,
2022-05-09 00:00:00,LLOYDS ENGG WORK LIMITED,4230,NSE,EQ,539992,Equity,,,0,00:00:00,SELL,300,14.1,-300,-4230,,
2022-05-09 00:00:00,LLOYDS ENGG WORK LIMITED,2765,NSE,EQ,539992,Equity,,,0,00:00:00,SELL,200,13.83,-200,-2765,,
2022-05-20 00:00:00,SWORD-EDGE COMMERCIALS LIMITED,154,NSE,EQ,512359,Equity,,,0,00:00:00,SELL,200,0.77,-200,-154,,
2022-05-25 00:00:00,JAIPRAKASH POWER VEN. LTD,140,NSE,EQ,532627,Equity,,,0,00:00:00,SELL,20,7,-20,-140,,
2022-05-25 00:00:00,JAIPRAKASH POWER VEN. LTD,210,NSE,EQ,532627,Equity,,,0,00:00:00,SELL,30,7,-30,-210,,
2022-05-25 00:00:00,JAIPRAKASH POWER VEN. LTD,350,NSE,EQ,532627,Equity,,,0,00:00:00,SELL,50,7,-50,-350,,
2022-06-03 00:00:00,VIRTUAL GLOBAL EDUCATION LTD.,420,NSE,EQ,534741,Equity,,,0,00:00:00,SELL,300,1.4,-300,-420,,
2022-06-03 00:00:00,VIRTUAL GLOBAL EDUCATION LTD.,280,NSE,EQ,534741,Equity,,,0,00:00:00,SELL,200,1.4,-200,-280,,
2022-07-06 00:00:00,CAMPUS ACTIVEWEAR LIMITED,1732.75,NSE,EQ,543523,Equity,,,0,00:00:00,SELL,5,346.55,-5,-1732.75,,
