datetime,exchange,segment,symbol,scrip_name,side,amount,quantity,price,expiry_date
2022-01-21 09:49:01,NSE,EQ,RTNPOWER,RattanIndia Power Limited,BUY,92.4,12,7.7,
2024-01-18 00:00:00,NSE,EQ,RTNPOWER,RattanIndia Power Limited,SELL,5250.0,500,10.5,
2024-07-04 00:00:00,NSE,EQ,RTNPOWER,RattanIndia Power Limited,SELL,3424.0,200,17.12,
2021-11-29 00:00:00,NSE,EQ,SINTEX,SINTEX INDUSTRIES LTD.,BUY,9953.0,740,13.45,
2021-12-23 00:00:00,NSE,EQ,SINTEX,SINTEX INDUSTRIES LTD.,SELL,10101.0,740,13.65,
2021-12-21 00:00:00,NSE,EQ,SUZLON,SUZLON ENERGY LTD.,BUY,365.0,50,7.3,
2021-12-29 00:00:00,NSE,EQ,SUZLON,SUZLON ENERGY LTD.,BUY,223.75,25,8.95,
2022-01-04 00:00:00,NSE,EQ,SUZLON,SUZLON ENERGY LTD.,BUY,867.0,85,10.2,
2022-01-04 00:00:00,NSE,EQ,SUZLON,SUZLON ENERGY LTD.,BUY,212.0,20,10.6,
2022-01-06 00:00:00,NSE,EQ,SUZLON,SUZLON ENERGY LTD.,BUY,192.0,20,9.6,
2022-01-06 00:00:00,NSE,EQ,SUZLON,SUZLON ENERGY LTD.,BUY,388.0,40,9.7,
2022-01-06 00:00:00,NSE,EQ,SUZLON,SUZLON ENERGY LTD.,BUY,97.5,10,9.75,
2022-01-07 00:00:00,NSE,EQ,SUZLON,SUZLON ENERGY LTD.,BUY,105.5,10,10.55,
2022-01-25 00:00:00,NSE,EQ,SUZLON,SUZLON ENERGY LTD.,BUY,432.0,40,10.8,
2022-10-04 00:00:00,NSE,EQ,SUZLON,SUZLON ENERGY LTD.,BUY,0.0,71,0.0,
2021-12-24 00:00:00,NSE,EQ,SWORDEDGE,Sword-Edge Commercials Limited,BUY,230.0,200,1.15,
2021-12-28 00:00:00,NSE,EQ,SWORDEDGE,Sword-Edge Commercials Limited,BUY,252.0,200,1.26,
2022-02-04 00:00:00,NSE,EQ,SWORDEDGE,Sword-Edge Commercials Limited,BUY,0.0,400,0.0,
2022-02-24 00:00:00,NSE,EQ,SWORDEDGE,Sword-Edge Commercials Limited,SELL,492.0,600,0.82,
2022-05-20 00:00:00,NSE,EQ,SWORDEDGE,Sword-Edge Commercials Limited,SELL,154.0,200,0.77,
2022-01-24 15:27:53,NSE,EQ,TATAMOTORS,TATA MOTORS LTD.,BUY,954.1,2,477.05,
2022-01-25 11:56:08,NSE,EQ,TATAMOTORS,TATA MOTORS LTD.,BUY,3870.4,8,483.8,
2021-12-21 00:00:00,NSE,EQ,TATAPOWER,TATA POWER CO.LTD.,BUY,4293.0,20,214.65,
2022-01-24 00:00:00,NSE,EQ,TATAPOWER,TATA POWER CO.LTD.,BUY,2279.0,10,227.9,
2021-12-10 00:00:00,NSE,EQ,TRIDENT,TRIDENT LTD.,BUY,2800.0,50,56.0,
2022-01-03 00:00:00,NSE,EQ,TRIDENT,TRIDENT LTD.,BUY,537.5,10,53.75,
2022-01-06 00:00:00,NSE,EQ,TRIDENT,TRIDENT LTD.,BUY,533.5,10,53.35,
2022-01-06 00:00:00,NSE,EQ,TRIDENT,TRIDENT LTD.,BUY,1072.0,20,53.6,
2022-01-21 00:00:00,NSE,EQ,TRIDENT,TRIDENT LTD.,BUY,649.0,10,64.9,
2021-11-26 00:00:00,NSE,EQ,TTML,TATA TELESERVICES (MAHARASHTRA) LTD.,BUY,4044.15,43,94.05,
2021-11-26 00:00:00,NSE,EQ,TTML,TATA TELESERVICES (MAHARASHTRA) LTD.,BUY,676.2,7,96.6,
2021-11-26 00:00:00,NSE,EQ,TTML,TATA TELESERVICES (MAHARASHTRA) LTD.,BUY,4862.5,50,97.25,
2021-11-26 00:00:00,NSE,EQ,TTML,TATA TELESERVICES (MAHARASHTRA) LTD.,BUY,694.4,7,99.2,
2021-11-26 00:00:00,NSE,EQ,TTML,TATA TELESERVICES (MAHARASHTRA) LTD.,BUY,1292.85,13,99.45,
2021-11-26 00:00:00,NSE,EQ,TTML,TATA TELESERVICES (MAHARASHTRA) LTD.,SELL,10200.0,100,102.0,
2021-11-29 00:00:00,NSE,EQ,TTML,TATA TELESERVICES (MAHARASHTRA) LTD.,BUY,10155.6,104,97.65,
2021-11-29 00:00:00,NSE,EQ,TTML,TATA TELESERVICES (MAHARASHTRA) LTD.,BUY,6996.0,66,106.0,
2021-11-29 00:00:00,NSE,EQ,TTML,TATA TELESERVICES (MAHARASHTRA) LTD.,SELL,16080.0,150,107.2,
2021-12-23 00:00:00,NSE,EQ,TTML,TATA TELESERVICES (MAHARASHTRA) LTD.,BUY,1541.0,10,154.1,
2021-12-24 00:00:00,NSE,EQ,TTML,TATA TELESERVICES (MAHARASHTRA) LTD.,BUY,8090.0,50,161.8,
2022-05-06 00:00:00,NSE,EQ,TTML,TATA TELESERVICES (MAHARASHTRA) LTD.,SELL,9688.0,70,138.4,
2021-12-27 00:00:00,NSE,EQ,URJA,URJA GLOBAL LTD.,BUY,850.0,50,17.0,
2022-01-04 00:00:00,NSE,EQ,URJA,URJA GLOBAL LTD.,BUY,1140.0,50,22.8,
2024-03-13 00:00:00,NSE,EQ,URJA,URJA GLOBAL LTD.,SELL,2000.0,100,20.0,
2021-12-31 00:00:00,NSE,EQ,VIJIFIN,Viji Finance Ltd,BUY,625.0,100,6.25,
2022-01-10 00:00:00,NSE,EQ,VIJIFIN,Viji Finance Ltd,SELL,570.0,100,5.7,
