Scrip Name,ISIN No,ISIN Reinvestment,Instrument Type
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,INF767K01568,INF767K01576,Mutual Fund
Mirae Asset Mutual Fund,,,Mutual Fund
Mirae Asset Banking and PSU Fund - Direct Plan - Growth,INF769K01FY9,,Mutual Fund
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,INF769K01FX1,INF769K01FZ6,Mutual Fund
Mirae Asset Banking and PSU Fund - Regular Plan - Growth,INF769K01FV5,,Mutual Fund
Mirae Asset Banking and PSU Fund - Regular plan - IDCW,INF769K01FU7,INF769K01FW3,Mutual Fund
Nippon India Mutual Fund,,,Mutual Fund
Nippon India Banking& PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option,INF204KA1U61,,Mutual Fund
Nippon India Banking& PSU Debt Fund- Direct Plan-Growth Plan- Growth Option,INF204KA1U53,,Mutual Fund
Nippon India Banking& PSU Debt Fund- Growth Plan- Bonus Option,INF204KA1T64,,Mutual Fund
Nippon India Banking& PSU Debt Fund- Growth Plan- Growth Option,INF204KA1T56,,Mutual Fund
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option,INF204KA1U79,INF204KA1U87,Mutual Fund
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option,INF204KA1V37,INF204KA1V45,Mutual Fund
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option,INF204KA1U95,INF204KA1V03,Mutual Fund
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option,INF204KA1V11,INF204KA1V29,Mutual Fund
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option,INF204KA1T72,INF204KA1T80,Mutual Fund
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option,INF204KA1U38,INF204KA1U46,Mutual Fund
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option,INF204KA1T98,INF204KA1U04,Mutual Fund
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option,INF204KA1U12,INF204KA1U20,Mutual Fund
SBI Mutual Fund,,,Mutual Fund
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),,INF200K01V16,Mutual Fund
SBI BANKING & PSU FUND - Direct Plan - Growth,INF200K01V08,,Mutual Fund
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01V40,INF200K01V57,Mutual Fund
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01V32,INF200K01V24,Mutual Fund
SBI BANKING & PSU FUND - Regular Paln - Growth,INF200K01U41,,Mutual Fund
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),,INF200K01U58,Mutual Fund
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01U82,INF200K01U90,Mutual Fund
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01U74,INF200K01U66,Mutual Fund
Sundaram Mutual Fund,,,Mutual Fund
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,INF903J017I5,,Mutual Fund
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend,INF903J012J4,INF903J013J2,Mutual Fund
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend,INF903J019I1,INF903J014J0,Mutual Fund
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus,INF903J016I7,,Mutual Fund
