date,segment,stock_name,holding_quantity,holding_price_avg,holding_amount,close,current_value
2021-04-07,EQ,PNB,30.0,32.95,988.5,35.9,1077.0
2021-04-08,EQ,PNB,30.0,32.95,988.5,35.75,1072.5
2021-04-09,EQ,PNB,30.0,32.95,988.5,36.14,1084.2
2021-04-10,EQ,PNB,30.0,32.95,988.5,36.14,1084.2
2021-04-11,EQ,PNB,30.0,32.95,988.5,36.14,1084.2
2021-04-12,EQ,PNB,30.0,32.95,988.5,32.41,972.3
2021-04-13,EQ,PNB,30.0,32.95,988.5,33.51,1005.3
2021-04-14,EQ,PNB,30.0,32.95,988.5,33.51,1005.3
2021-04-15,EQ,PNB,30.0,32.95,988.5,33.18,995.4
2021-04-16,EQ,PNB,30.0,32.95,988.5,33.22,996.6
2021-04-17,EQ,PNB,30.0,32.95,988.5,33.22,996.6
2021-04-18,EQ,PNB,30.0,32.95,988.5,33.22,996.6
2021-04-19,EQ,PNB,30.0,32.95,988.5,31.65,949.5
2021-04-20,EQ,PNB,30.0,32.95,988.5,32.17,965.1
2021-04-21,EQ,PNB,30.0,32.95,988.5,32.17,965.1
2021-04-22,EQ,PNB,30.0,32.95,988.5,32.37,971.1
2021-04-23,EQ,PNB,30.0,32.95,988.5,32.46,973.8
2021-04-24,EQ,PNB,30.0,32.95,988.5,32.46,973.8
2021-04-25,EQ,PNB,30.0,32.95,988.5,32.46,973.8
2021-04-26,EQ,PNB,30.0,32.95,988.5,32.89,986.7
2021-04-27,EQ,PNB,30.0,32.95,988.5,33.37,1001.1
2021-04-28,EQ,PNB,30.0,32.95,988.5,34.04,1021.2
2021-04-29,EQ,PNB,30.0,32.95,988.5,33.46,1003.8
2021-04-30,EQ,PNB,30.0,32.95,988.5,33.27,998.1
2021-05-01,EQ,PNB,30.0,32.95,988.5,33.27,998.1
2021-05-02,EQ,PNB,30.0,32.95,988.5,33.27,998.1
2021-05-03,EQ,PNB,30.0,32.95,988.5,32.94,988.2
2021-05-04,EQ,PNB,30.0,32.95,988.5,35.75,1072.5
2021-05-05,EQ,PNB,30.0,32.95,988.5,35.75,1072.5
2021-05-06,EQ,PNB,30.0,32.95,988.5,34.75,1042.5
2021-05-07,EQ,PNB,30.0,32.95,988.5,34.61,1038.3
2021-05-08,EQ,PNB,30.0,32.95,988.5,34.61,1038.3
2021-05-09,EQ,PNB,30.0,32.95,988.5,34.61,1038.3
2021-05-10,EQ,PNB,30.0,32.95,988.5,33.99,1019.7
2021-05-11,EQ,PNB,30.0,32.95,988.5,33.46,1003.8
2021-05-12,EQ,PNB,30.0,32.95,988.5,35.42,1062.6
2021-05-13,EQ,PNB,30.0,32.95,988.5,35.42,1062.6
2021-05-14,EQ,PNB,30.0,32.95,988.5,35.13,1053.9
2021-05-15,EQ,PNB,30.0,32.95,988.5,35.13,1053.9
2021-05-16,EQ,PNB,30.0,32.95,988.5,35.13,1053.9
2021-05-17,EQ,PNB,30.0,32.95,988.5,35.95,1078.5
2021-05-18,EQ,PNB,30.0,32.95,988.5,35.66,1069.8
2021-05-19,EQ,PNB,30.0,32.95,988.5,34.56,1036.8
2021-05-20,EQ,PNB,30.0,32.95,988.5,35.8,1074.0
2021-05-21,EQ,PNB,30.0,32.95,988.5,36.33,1089.9
2021-05-22,EQ,PNB,30.0,32.95,988.5,36.33,1089.9
2021-05-23,EQ,PNB,30.0,32.95,988.5,36.33,1089.9
2021-05-24,EQ,PNB,30.0,32.95,988.5,38.0,1140.0
2021-05-25,EQ,PNB,30.0,32.95,988.5,37.57,1127.1
2021-05-26,EQ,PNB,30.0,32.95,988.5,37.47,1124.1
2021-05-27,EQ,PNB,30.0,32.95,988.5,40.24,1207.2
2021-05-28,EQ,PNB,30.0,32.95,988.5,40.34,1210.2
2021-05-29,EQ,PNB,30.0,32.95,988.5,40.34,1210.2
2021-05-30,EQ,PNB,30.0,32.95,988.5,40.34,1210.2
2021-05-31,EQ,PNB,30.0,32.95,988.5,40.48,1214.4
2021-06-01,EQ,PNB,30.0,32.95,988.5,39.76,1192.8
2021-06-02,EQ,PNB,30.0,32.95,988.5,42.01,1260.3
2021-06-03,EQ,PNB,30.0,32.95,988.5,41.72,1251.6
2021-06-04,EQ,PNB,30.0,32.95,988.5,41.15,1234.5
