date,segment,exchange,symbol,scrip_name,holding_quantity,avg_price,holding_amount,open_price,open_amount,high_price,high_amount,low_price,low_amount,close_price,close_amount
2024-01-11,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,807.55,80755.0,812.37,81237.0,804.02,80402.0,810.83,81083.0
2024-01-11,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,348.19,52228.5,358.24,53736.0,346.05,51907.5,355.6,53340.0
2024-01-12,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,813.91,81391.0,813.91,81391.0,804.52,80452.0,811.23,81123.0
2024-01-12,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,360.28,54042.0,360.28,54042.0,354.96,53244.0,356.0,53400.0
2024-01-13,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,813.91,81391.0,813.91,81391.0,804.52,80452.0,811.23,81123.0
2024-01-13,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,360.28,54042.0,360.28,54042.0,354.96,53244.0,356.0,53400.0
2024-01-14,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,813.91,81391.0,813.91,81391.0,804.52,80452.0,811.23,81123.0
2024-01-14,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,360.28,54042.0,360.28,54042.0,354.96,53244.0,356.0,53400.0
2024-01-15,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,816.89,81689.0,816.89,81689.0,805.86,80586.0,807.35,80735.0
2024-01-15,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,358.44,53766.0,358.44,53766.0,351.72,52758.0,357.05,53557.5
2024-01-16,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,809.74,80974.0,821.91,82191.0,807.75,80775.0,813.86,81386.0
2024-01-16,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,357.69,53653.5,358.99,53848.5,347.49,52123.5,351.97,52795.5
2024-01-17,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,808.79,80879.0,808.79,80879.0,798.46,79846.0,800.59,80059.0
2024-01-17,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,351.37,52705.5,353.51,53026.5,345.0,51750.0,347.19,52078.5
2024-01-18,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,808.79,80879.0,808.79,80879.0,798.46,79846.0,800.59,80059.0
2024-01-18,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,351.37,52705.5,353.51,53026.5,345.0,51750.0,347.19,52078.5
2024-01-19,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,819.77,81977.0,820.57,82057.0,814.56,81456.0,818.23,81823.0
2024-01-19,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,346.74,52011.0,349.73,52459.5,343.66,51549.0,347.04,52056.0
2024-01-20,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,819.77,81977.0,820.57,82057.0,814.56,81456.0,818.23,81823.0
2024-01-20,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,346.74,52011.0,349.73,52459.5,343.66,51549.0,347.04,52056.0
2024-01-21,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,819.77,81977.0,820.57,82057.0,814.56,81456.0,818.23,81823.0
2024-01-21,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,346.74,52011.0,349.73,52459.5,343.66,51549.0,347.04,52056.0
2024-01-22,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,819.77,81977.0,820.57,82057.0,814.56,81456.0,818.23,81823.0
2024-01-22,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,346.74,52011.0,349.73,52459.5,343.66,51549.0,347.04,52056.0
2024-01-23,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,818.93,81893.0,822.61,82261.0,791.4,79140.0,795.47,79547.0
2024-01-23,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,364.71,54706.5,364.71,54706.5,339.73,50959.5,344.7,51705.0
2024-01-24,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,798.06,79806.0,807.0,80700.0,784.14,78414.0,805.91,80591.0
2024-01-24,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,347.29,52093.5,356.15,53422.5,342.17,51325.5,355.3,53295.0
2024-01-25,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,808.89,80889.0,808.89,80889.0,795.37,79537.0,806.46,80646.0
2024-01-25,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,357.79,53668.5,364.86,54729.0,356.05,53407.5,363.37,54505.5
2024-01-26,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,808.89,80889.0,808.89,80889.0,795.37,79537.0,806.46,80646.0
2024-01-26,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,357.79,53668.5,364.86,54729.0,356.05,53407.5,363.37,54505.5
2024-01-27,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,808.89,80889.0,808.89,80889.0,795.37,79537.0,806.46,80646.0
2024-01-27,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,357.79,53668.5,364.86,54729.0,356.05,53407.5,363.37,54505.5
2024-01-28,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,808.89,80889.0,808.89,80889.0,795.37,79537.0,806.46,80646.0
2024-01-28,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,357.79,53668.5,364.86,54729.0,356.05,53407.5,363.37,54505.5
2024-01-29,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,808.74,80874.0,838.51,83851.0,806.01,80601.0,835.67,83567.0
2024-01-29,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,368.74,55311.0,385.37,57805.5,365.11,54766.5,380.14,57021.0
2024-01-30,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,837.61,83761.0,880.84,88084.0,837.61,83761.0,853.96,85396.0
2024-01-30,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,385.02,57753.0,390.89,58633.5,380.24,57036.0,381.48,57222.0
2024-01-31,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,837.61,83761.0,880.84,88084.0,837.61,83761.0,853.96,85396.0
2024-01-31,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,385.02,57753.0,390.89,58633.5,380.24,57036.0,381.48,57222.0
2024-02-01,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,896.35,89635.0,896.35,89635.0,870.71,87071.0,872.94,87294.0
2024-02-01,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,392.03,58804.5,394.87,59230.5,383.92,57588.0,387.06,58059.0
2024-02-02,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,881.34,88134.0,890.24,89024.0,871.4,87140.0,873.39,87339.0
2024-02-02,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,390.54,58581.0,392.98,58947.0,386.06,57909.0,387.95,58192.5
2024-02-03,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,881.34,88134.0,890.24,89024.0,871.4,87140.0,873.39,87339.0
2024-02-03,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,390.54,58581.0,392.98,58947.0,386.06,57909.0,387.95,58192.5
2024-02-04,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,881.34,88134.0,890.24,89024.0,871.4,87140.0,873.39,87339.0
2024-02-04,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,390.54,58581.0,392.98,58947.0,386.06,57909.0,387.95,58192.5
2024-02-05,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,936.2,93620.0,943.76,94376.0,909.57,90957.0,921.1,92110.0
2024-02-05,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,394.12,59118.0,400.64,60096.0,388.5,58275.0,392.08,58812.0
2024-02-06,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,933.22,93322.0,935.21,93521.0,922.69,92269.0,933.67,93367.0
2024-02-06,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,395.17,59275.5,395.17,59275.5,385.22,57783.0,391.14,58671.0
2024-02-07,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,937.74,93774.0,938.74,93874.0,922.54,92254.0,927.8,92780.0
2024-02-07,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,394.82,59223.0,399.85,59977.5,390.19,58528.5,393.28,58992.0
2024-02-08,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,931.93,93193.0,933.97,93397.0,913.05,91305.0,918.76,91876.0
2024-02-08,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,395.07,59260.5,409.11,61366.5,391.39,58708.5,405.67,60850.5
2024-02-09,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,921.99,92199.0,921.99,92199.0,900.47,90047.0,909.32,90932.0
2024-02-09,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,410.85,61627.5,410.85,61627.5,382.28,57342.0,390.29,58543.5
2024-02-10,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,921.99,92199.0,921.99,92199.0,900.47,90047.0,909.32,90932.0
2024-02-10,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,410.85,61627.5,410.85,61627.5,382.28,57342.0,390.29,58543.5
2024-02-11,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,921.99,92199.0,921.99,92199.0,900.47,90047.0,909.32,90932.0
2024-02-11,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,410.85,61627.5,410.85,61627.5,382.28,57342.0,390.29,58543.5
2024-02-12,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,911.36,91136.0,919.31,91931.0,902.56,90256.0,905.64,90564.0
2024-02-12,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,379.14,56871.0,384.42,57663.0,357.44,53616.0,360.08,54012.0
2024-02-13,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,905.39,90539.0,912.9,91290.0,888.5,88850.0,901.32,90132.0
2024-02-13,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,358.39,53758.5,364.86,54729.0,353.01,52951.5,363.32,54498.0
2024-02-14,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,894.46,89446.0,914.34,91434.0,888.65,88865.0,912.65,91265.0
