date,holding_amount,open_amount,high_amount,low_amount,close_amount
2022-06-23,102405.4,108198.0,110490.95,106959.11,109405.51
2022-06-24,102405.4,110306.99,111564.03,109389.82,110777.18
2022-06-25,102405.4,110306.99,111564.03,109389.82,110777.18
2022-06-26,102405.4,110306.99,111564.03,109389.82,110777.18
2022-06-27,102405.4,112638.4,113249.57,111056.76,111599.33
2022-06-28,102405.4,110798.18,112338.1,110087.63,111993.65
2022-06-29,102405.4,110746.01,112913.11,110504.23,111759.99
2022-06-30,102405.4,111861.89,113037.11,109436.88,109910.89
2022-07-01,102405.4,109761.7,111616.51,108050.32,111013.83
2022-07-02,102405.4,109761.7,111616.51,108050.32,111013.83
2022-07-03,102405.4,109761.7,111616.51,108050.32,111013.83
2022-07-04,102405.4,111123.65,112722.56,110009.24,111715.03
2022-07-05,102405.4,113147.87,114391.24,111869.01,112349.1
2022-07-06,102405.4,112653.28,113844.41,111748.28,113412.7
2022-07-07,102405.4,114217.65,116052.44,112999.64,115145.56
2022-07-08,102405.4,116439.63,118152.41,114997.91,117501.13
2022-07-09,102405.4,116439.63,118152.41,114997.91,117501.13
2022-07-10,102405.4,116439.63,118152.41,114997.91,117501.13
2022-07-11,102405.4,116964.36,118177.92,115940.66,117243.77
2022-07-12,102405.4,116618.7,117759.69,115600.48,116383.38
2022-07-13,102405.4,116902.64,117756.37,115566.59,116132.79
2022-07-14,102405.4,116624.23,117284.29,115138.86,116219.71
2022-07-15,102405.4,116745.39,118996.15,116268.61,118343.11
2022-07-16,102405.4,116745.39,118996.15,116268.61,118343.11
2022-07-17,102405.4,116745.39,118996.15,116268.61,118343.11
2022-07-18,102405.4,119271.67,120897.83,118506.11,120059.42
2022-07-19,102405.4,119405.05,120691.44,118871.36,119860.56
2022-07-20,102405.4,121037.35,121959.99,119796.89,120229.07
2022-07-21,102405.4,120089.1,121517.45,119564.78,121095.89
2022-07-22,102405.4,121423.43,122584.83,120550.88,121040.75
2022-07-23,102405.4,121423.43,122584.83,120550.88,121040.75
2022-07-24,102405.4,121423.43,122584.83,120550.88,121040.75
2022-07-25,102405.4,121215.17,122261.17,119656.92,121067.48
2022-07-26,102405.4,121101.75,121256.7,118113.09,118579.23
2022-07-27,102405.4,117624.64,118948.59,115917.62,117717.99
2022-07-28,102405.4,117884.01,119332.1,115772.42,117827.86
2022-07-29,102405.4,118721.58,120465.97,118350.28,119832.03
2022-07-30,102405.4,118721.58,120465.97,118350.28,119832.03
2022-07-31,102405.4,118721.58,120465.97,118350.28,119832.03
2022-08-01,102405.4,120220.53,125467.85,119833.78,124973.97
2022-08-02,102405.4,124926.85,125942.29,123151.9,125102.68
2022-08-03,102405.4,124810.61,126011.15,122527.35,123940.64
2022-08-04,102405.4,124827.17,125656.47,121386.72,123496.77
2022-08-05,102405.4,123793.53,125357.75,122699.12,123972.23
2022-08-06,102405.4,123793.53,125357.75,122699.12,123972.23
2022-08-07,102405.4,123793.53,125357.75,122699.12,123972.23
2022-08-08,102405.4,123798.31,124979.98,122574.94,123507.92
2022-08-09,102405.4,123798.31,124979.98,122574.94,123507.92
2022-08-10,48224.4,80659.5,81508.0,79652.0,81063.5
2022-08-11,48224.4,81966.5,82425.0,81046.0,81307.0
